"","country","year","rank","ladder_score","GDP","social_support","life_expectancy","freedom","generosity","corruption","region"
"77","Tajikistan",2018,56,5.497,8.082,0.875,64.1,NA,-0.065,0.578,"Commonwealth of Independent States"
"78","Tanzania",2018,90,3.445,7.859,0.675,57.5,0.807,0.153,0.612,"Sub-Saharan Africa"
"79","Thailand",2018,37,6.012,9.803,0.873,67.2,0.905,0.259,0.907,"Southeast Asia"
"80","Tunisia",2018,76,4.741,9.284,0.733,66.9,0.65,-0.191,0.84,"Middle East and North Africa"
"81","Turkey",2018,65,5.186,10.251,0.847,66.8,0.529,-0.176,0.805,"Middle East and North Africa"
"82","Uganda",2018,84,4.322,7.66,0.74,55.7,0.729,0.079,0.856,"Sub-Saharan Africa"
"83","Ukraine",2018,77,4.662,9.42,0.901,64.6,0.663,-0.074,0.943,"Commonwealth of Independent States"
"84","United Arab Emirates",2018,19,6.604,11.112,0.851,67.1,0.944,0.054,NA,"Middle East and North Africa"
"85","United Kingdom",2018,9,7.233,10.743,0.928,72.3,0.838,0.226,0.404,"Western Europe"
"86","United States",2018,17,6.883,11.025,0.904,68.3,0.825,0.116,0.71,"North America and ANZ"
"87","Uruguay",2018,26,6.372,9.98,0.917,69,0.876,-0.097,0.683,"Latin America and Caribbean"
"88","Venezuela",2018,69,5.006,NA,0.887,66.5,0.611,NA,0.828,"Latin America and Caribbean"
"89","Zambia",2018,86,4.041,8.167,0.718,55.3,0.791,0.048,0.811,"Sub-Saharan Africa"
"90","Zimbabwe",2018,89,3.616,8.049,0.775,55.6,0.763,-0.068,0.844,"Sub-Saharan Africa"
