"","country","year","rank","ladder_score","GDP","social_support","life_expectancy","freedom","generosity","corruption","region"
"80","Tunisia",2020,77,4.731,9.231,0.719,67.5,0.668,-0.202,0.877,"Middle East and North Africa"
"81","Turkey",2020,74,4.862,10.219,0.857,67.6,0.51,-0.111,0.774,"Middle East and North Africa"
"82","Uganda",2020,78,4.641,7.684,0.8,56.5,0.687,0.147,0.878,"Sub-Saharan Africa"
"83","Ukraine",2020,65,5.27,9.428,0.885,65.2,0.784,0.126,0.946,"Commonwealth of Independent States"
"84","United Arab Emirates",2020,25,6.458,11.053,0.827,67.5,0.942,0.06,NA,"Middle East and North Africa"
"85","United Kingdom",2020,16,6.798,10.626,0.929,72.7,0.885,0.203,0.49,"Western Europe"
"86","United States",2020,13,7.028,11.001,0.937,68.1,0.85,0.034,0.678,"North America and ANZ"
"87","Uruguay",2020,28,6.31,9.937,0.921,69.2,0.908,-0.084,0.491,"Latin America and Caribbean"
"88","Venezuela",2020,79,4.574,NA,0.805,66.9,0.612,NA,0.811,"Latin America and Caribbean"
"89","Zambia",2020,75,4.838,8.117,0.767,56.3,0.75,0.056,0.81,"Sub-Saharan Africa"
"90","Zimbabwe",2020,90,3.16,7.829,0.717,56.8,0.643,-0.009,0.789,"Sub-Saharan Africa"
